順位,名前,動画,BB,レス,pixiv,前回,得点
473,一般通過姉貴,4,0,2,0,New!!,4.5
479,加納コーチ,4,1,1,0,457(-22),4.3
479,横原ゴリジュニア,4,0,1,0,475(-4),4.3
479,偽茶髪チャラ男,4,1,1,0,476(-3),4.3
482,望月輝,3,0,0,1,361(-121),4
482,QPちゃん,3,0,0,1,386(-96),4
482,横井ルイ,4,0,0,0,464(-18),4
482,ケンジィ,4,0,0,0,484(+2),4
482,佐々木主任,4,0,0,0,485(+3),4
482,佐藤翔太,4,0,0,0,499(+17),4
482,金子君,2,0,0,2,531(+49),4
482,HRS,4,1,0,0,New!!,4
482,辰己(淫夢),4,0,0,0,486(+4),4
491,サムソン高橋,3,0,3,0,223(-268),3.8
491,MUR父,3,0,3,0,454(-37),3.8
491,MTMTKY,2,1,7,0,463(-28),3.8
494,野獣叔父,3,0,2,0,230(-264),3.5
494,昭和天皇の御学友(淫夢),0,0,14,0,285(-209),3.5
494,羽生結弦(淫夢),2,0,6,0,383(-111),3.5
494,ティッシュ配り命の男っぽい剛史君,2,1,6,0,440(-54),3.5
494,あらた(淫夢),2,0,6,0,466(-28),3.5
494,KWBT(淫夢),3,2,2,0,480(-14),3.5
494,硝子君,3,0,2,0,482(-12),3.5
494,MUR兄,2,0,2,1,512(+18),3.5
502,DJ兄貴,3,0,1,0,492(-10),3.3
502,炎獣魔神,3,0,1,0,432(-70),3.3
502,偽KMR,3,1,1,0,471(-31),3.3
502,黄色パーカー君,3,0,1,0,472(-30),3.3
502,ヤマネ(淫夢),3,0,1,0,477(-25),3.3
502,DB亜種,3,1,1,0,488(-14),3.3
502,超あきら,3,0,1,0,496(-6),3.3
509,OTTK,3,0,0,0,479(-30),3
509,ローライズ君,3,0,0,0,489(-20),3
509,クレヨンしんちゃんの風間くん(淫夢),1,1,8,0,494(-15),3
509,ゆたぼん(淫夢),2,0,4,0,New!!,3
509,チンコに名前を付ける男,3,0,0,0,New!!,3
509,ゴルニャン(淫夢),3,1,0,0,New!!,3
515,宮野真守(淫夢),2,0,3,0,431(-84),2.8
515,星条旗兄貴,2,0,3,0,478(-37),2.8
515,OCBGC,2,0,3,0,481(-34),2.8
518,MSKW,2,0,2,0,490(-28),2.5
518,爽やか若リーマン君,2,0,2,0,500(-18),2.5
